iter	Logloss
0	0.6744664605
1	0.6613773302
2	0.6435103065
3	0.6289850315
4	0.6155239273
5	0.6009886975
6	0.5905165615
7	0.5815880491
8	0.5690696827
9	0.562618574
10	0.5514397215
11	0.5356559153
12	0.523170627
13	0.5093360877
14	0.5013565414
15	0.4916836741
16	0.4844390255
17	0.4777183195
18	0.4659837589
19	0.4587679719
20	0.4509370154
21	0.4431270625
22	0.4305848549
23	0.4229972496
24	0.4173254896
25	0.4082769298
26	0.4024221573
27	0.3965723005
28	0.3893948569
29	0.3848144743
30	0.3761602198
31	0.3690460467
32	0.3617510497
33	0.3553280939
34	0.3503328387
35	0.3458861893
36	0.341456929
37	0.3372103794
38	0.328446099
39	0.3228851537
40	0.3193245567
41	0.3131117996
42	0.3072932755
43	0.3034620937
44	0.2997796368
45	0.2962196901
46	0.2902155194
47	0.285836047
48	0.2831179774
49	0.2772304485
50	0.2705298269
51	0.2685071865
52	0.2648979562
53	0.2621727706
54	0.2586916706
55	0.2557476312
56	0.2525130467
57	0.2494893799
58	0.2462858321
59	0.2428313567
60	0.2388438709
61	0.2365078064
62	0.2328816546
63	0.2304971895
64	0.2275292204
65	0.2250844631
66	0.2216306176
67	0.215907048
68	0.2127978504
69	0.2103009611
70	0.2081332173
71	0.2046824283
72	0.2017163854
73	0.1992806116
74	0.1964791769
75	0.1941645018
76	0.1912047833
77	0.1889244328
78	0.1857967066
79	0.1840151681
80	0.1819156372
81	0.1801795076
82	0.1784869802
83	0.1764954294
84	0.1751869117
85	0.1735713811
86	0.1718954914
87	0.1697067539
88	0.1676558257
89	0.1641746154
90	0.1629303531
91	0.1611714614
92	0.1596081117
93	0.1583095824
94	0.1563590964
95	0.1554373845
96	0.1536537308
97	0.1522812937
