iter	Passed	Remaining
0	0	93
1	1	90
2	2	84
3	3	80
4	4	84
5	6	93
6	7	91
7	7	88
8	8	85
9	9	83
10	10	82
11	11	81
12	12	79
13	12	77
14	13	75
15	14	73
16	15	72
17	17	77
18	18	77
19	20	78
20	20	76
21	21	74
22	22	72
23	22	70
24	23	69
25	24	68
26	25	66
27	25	64
28	26	63
29	27	62
30	28	60
31	28	59
32	29	58
33	30	57
34	31	56
35	32	55
36	33	54
37	33	53
38	34	52
39	35	51
40	36	50
41	36	48
42	37	47
43	38	46
44	38	45
45	39	44
46	40	43
47	41	42
48	42	42
49	42	40
50	43	39
51	44	38
52	44	37
53	45	37
54	46	36
55	46	35
56	47	34
57	48	33
58	49	32
59	49	31
60	50	30
61	51	29
62	52	28
63	52	28
64	53	27
65	54	26
66	56	25
67	57	25
68	58	24
69	59	23
70	60	22
71	61	22
72	62	21
73	64	20
74	66	20
75	68	19
76	69	18
77	70	18
78	71	17
79	73	16
80	73	15
81	75	14
82	76	13
83	77	12
84	79	12
85	80	11
86	82	10
87	82	9
88	84	8
89	85	7
90	88	6
91	89	5
92	90	4
93	91	3
94	91	2
95	92	1
96	93	0
97	107	0
